交易日,投资者帐号,可用资金,期货结算准备金,经纪公司代码,资金差额,平仓盈亏,手续费,信用额度,当前保证金总额,投资者交割保证金,入金金额,交易所交割保证金,交易所保证金,冻结的资金,冻结的手续费,冻结的保证金,利息收入,利息基数,质押金额,持仓盈亏,上次结算准备金,上次信用额度,上次存款额,上次占用的保证金,上次质押金额,基本准备金,结算编号,出金金额,可取资金
20161205,031116,759336.38,779008.78,9999,0,0,0,0,19672.4,0,0,0,19672.4,0,0,0,0,0,0,0,779008.78,0,759336.38,19672.4,0,0,1,0,531535.466
20161205,031116,752906.4868,777892.8868,9999,0,-1280,155.8932,0,24666.4,0,0,0,24666.4,0,0,0,0,0,0,320,779008.78,0,759336.38,19672.4,0,0,1,0,527258.54076
20161205,031116,775177.8312,775177.8312,9999,0,-3640,190.9488,0,0,0,0,0,0,0,0,0,0,0,0,0,779008.78,0,759336.38,19672.4,0,0,1,0,542624.48184
20161205,031116,775085.8312,775085.8312,9999,0,-3720,202.9488,0,0,0,0,0,0,0,0,0,0,0,0,0,779008.78,0,759336.38,19672.4,0,0,1,0,542560.08184
20161205,031116,752101.7072,777690.5072,9999,0,-2360,238.2728,0,24308.8,0,0,0,24308.8,0,0,0,0,0,0,1280,779008.78,0,759336.38,19672.4,0,0,1,0,527367.19504
20161205,031116,744492.8048,778004.8048,9999,0,-2360,243.9752,0,31912,0,0,0,31912,0,0,0,0,0,0,1600,779008.78,0,759336.38,19672.4,0,0,1,0,522264.96336
20161205,031116,777472.8048,777472.8048,9999,0,-1280,255.9752,0,0,0,0,0,0,0,0,0,0,0,0,0,779008.78,0,759336.38,19672.4,0,0,1,0,544230.96336
20161205,031116,769921.5114,777375.1114,9999,0,-1360,273.6686,0,0,0,0,0,0,0,5.6,7448,0,0,0,0,779008.78,0,759336.38,19672.4,0,0,1,0,538945.05798
20161205,031116,762407.2798,777314.4798,9999,0,-1400,294.3002,0,0,0,0,0,0,0,11.2,14896,0,0,0,0,779008.78,0,759336.38,19672.4,0,0,1,0,533685.09586
20161205,031116,730173.441,776727.841,9999,0,-1400,320.939,0,24193.6,0,0,0,24193.6,0,16.8,22344,0,0,0,-560,779008.78,0,759336.38,19672.4,0,0,1,0,511121.4087
20161205,031116,746782.8112,776597.2112,9999,0,-2040,371.5688,0,0,0,0,0,0,0,22.4,29792,0,0,0,0,779008.78,0,759336.38,19672.4,0,0,1,0,522747.96784
20161205,031116,704463.3496,774962.5496,9999,0,-2040,446.2304,0,70499.2,0,0,0,70499.2,0,0,0,0,0,0,-1560,779008.78,0,759336.38,19672.4,0,0,1,0,493124.34472
20161205,031116,705223.3496,775722.5496,9999,0,-2040,446.2304,0,70499.2,0,0,0,70499.2,0,0,0,0,0,0,-800,779008.78,0,759336.38,19672.4,0,0,1,0,493656.34472
20161205,031116,706023.3496,776802.5496,9999,0,-2040,446.2304,0,70499.2,0,0,0,70499.2,0,0,0,0,0,0,280,779008.78,0,759336.38,19672.4,0,0,1,0,494412.34472
20161205,031116,706023.3496,776882.5496,9999,0,-2040,446.2304,0,70499.2,0,0,0,70499.2,0,0,0,0,0,0,360,779008.78,0,759336.38,19672.4,0,0,1,0,494468.34472
20161205,031116,698569.7496,778162.5496,9999,0,-2040,446.2304,0,70499.2,0,0,0,70499.2,0,5.6,7448,0,0,0,1640,779008.78,0,759336.38,19672.4,0,0,1,0,490146.82472
20161205,031116,697223.7496,778670.5496,9999,0,-3440,458.2304,0,70433.2,0,0,0,70433.2,0,5.6,7448,0,0,0,3560,779008.78,0,759336.38,19672.4,0,0,1,0,490548.62472
20161205,031116,704677.3496,778230.5496,9999,0,-3440,458.2304,0,70433.2,0,0,0,70433.2,0,0,0,0,0,0,3120,779008.78,0,759336.38,19672.4,0,0,1,0,495458.14472
20161202,031116,756915.52,795921.52,9999,0,0,0,0,31326,0,0,0,31326,0,0,0,0,0,0,7680.00000000003,788241.52,0,756915.52,31326,0,0,1,0,535216.864
20161202,031116,711242.0316,793929.6316,9999,0,640,111.8884,0,76887.6,0,0,0,76887.6,0,0,0,0,0,0,5160,788241.52,0,756915.52,31326,0,0,1,0,501929.42212
20161206,031116,770066.56,770066.56,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770066.56,0,770066.56,0,0,0,1,0,770066.56
20161206,031116,756475.1648,756475.1648,9999,0,-12280,1311.3952,0,0,0,0,0,0,0,0,0,0,0,0,0,770066.56,0,770066.56,0,0,0,1,0,529532.61536
20161206,031116,753582.8384,753582.8384,9999,0,-14960,1523.7216,0,0,0,0,0,0,0,0,0,0,0,0,0,770066.56,0,770066.56,0,0,0,1,0,527507.98688
