10:33:02.000 DEBUG [7] 合约:m1705,最新价:2868,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2865,涨停价:3042,跌停价:2754,更新时间:10:32:59,毫秒数:337,平均价:2884.25711179171,最新价与平均价距离:-16.2571117917141,成交量:743132,交易日:20170310 
10:34:02.000 DEBUG [7] 合约:m1705,最新价:2868,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2865,涨停价:3042,跌停价:2754,更新时间:10:33:59,毫秒数:339,平均价:2884.24187338342,最新价与平均价距离:-16.2418733834152,成交量:743852,交易日:20170310 
10:35:02.000 DEBUG [7] 合约:m1705,最新价:2870,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2865,涨停价:3042,跌停价:2754,更新时间:10:34:59,毫秒数:576,平均价:2884.19062027637,最新价与平均价距离:-14.1906202763694,成交量:746248,交易日:20170310 
10:36:01.918 DEBUG [7] 合约:m1705,最新价:2868,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2865,涨停价:3042,跌停价:2754,更新时间:10:35:59,毫秒数:837,平均价:2884.10298402036,最新价与平均价距离:-16.1029840203641,成交量:750330,交易日:20170310 
10:37:01.499 DEBUG [7] 合约:m1705,最新价:2868,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2865,涨停价:3042,跌停价:2754,更新时间:10:36:59,毫秒数:830,平均价:2884.03643724696,最新价与平均价距离:-16.0364372469635,成交量:753350,交易日:20170310 
10:38:01.499 DEBUG [7] 合约:m1705,最新价:2867,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2865,涨停价:3042,跌停价:2754,更新时间:10:37:59,毫秒数:850,平均价:2883.98005561568,最新价与平均价距离:-16.9800556156752,成交量:755902,交易日:20170310 
10:39:01.504 DEBUG [7] 合约:m1705,最新价:2867,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2865,涨停价:3042,跌停价:2754,更新时间:10:38:59,毫秒数:857,平均价:2883.94902747884,最新价与平均价距离:-16.9490274788395,成交量:757310,交易日:20170310 
10:40:01.500 DEBUG [7] 合约:m1705,最新价:2869,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2865,涨停价:3042,跌停价:2754,更新时间:10:39:57,毫秒数:865,平均价:2883.91003019015,最新价与平均价距离:-14.9100301901503,成交量:759188,交易日:20170310 
10:41:02.996 DEBUG [7] 合约:m1705,最新价:2869,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2865,涨停价:3042,跌停价:2754,更新时间:10:40:59,毫秒数:835,平均价:2883.88368931222,最新价与平均价距离:-14.8836893122179,成交量:760532,交易日:20170310 
10:42:01.998 DEBUG [7] 合约:m1705,最新价:2867,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2865,涨停价:3042,跌停价:2754,更新时间:10:41:59,毫秒数:863,平均价:2883.84821871367,最新价与平均价距离:-16.8482187136742,成交量:762202,交易日:20170310 
10:43:01.997 DEBUG [7] 合约:m1705,最新价:2867,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2865,涨停价:3042,跌停价:2754,更新时间:10:42:59,毫秒数:831,平均价:2883.78631495573,最新价与平均价距离:-16.7863149557311,成交量:765098,交易日:20170310 
10:44:02.498 DEBUG [7] 合约:m1705,最新价:2868,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2865,涨停价:3042,跌停价:2754,更新时间:10:43:59,毫秒数:333,平均价:2883.75178357623,最新价与平均价距离:-15.7517835762301,成交量:766718,交易日:20170310 
10:45:01.499 DEBUG [7] 合约:m1705,最新价:2866,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2865,涨停价:3042,跌停价:2754,更新时间:10:44:59,毫秒数:854,平均价:2883.68569543065,最新价与平均价距离:-17.6856954306541,成交量:769782,交易日:20170310 
10:46:01.503 DEBUG [7] 合约:m1705,最新价:2865,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2864,涨停价:3042,跌停价:2754,更新时间:10:45:59,毫秒数:847,平均价:2883.46058873788,最新价与平均价距离:-18.4605887378798,成交量:779498,交易日:20170310 
