09:00:30.451 DEBUG [7] 合约:i1709,最新价:500,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:28,毫秒数:968,平均价:510.562852203924,最新价与平均价距离:-10.562852203924,成交量:667582,交易日:20170417 
09:00:30.950 DEBUG [7] 合约:i1709,最新价:500.5,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:29,毫秒数:469,平均价:510.559192951352,最新价与平均价距离:-10.0591929513519,成交量:667816,交易日:20170417 
09:00:31.455 DEBUG [7] 合约:i1709,最新价:499,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:29,毫秒数:965,平均价:510.525094132858,最新价与平均价距离:-11.525094132858,成交量:669798,交易日:20170417 
09:00:31.950 DEBUG [7] 合约:i1709,最新价:499.5,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:30,毫秒数:471,平均价:510.513795171019,最新价与平均价距离:-11.013795171019,成交量:670452,交易日:20170417 
09:00:32.453 DEBUG [7] 合约:i1709,最新价:499.5,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:30,毫秒数:969,平均价:510.510192761887,最新价与平均价距离:-11.0101927618866,成交量:670672,交易日:20170417 
09:00:32.953 DEBUG [7] 合约:i1709,最新价:500,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:31,毫秒数:460,平均价:510.50585000149,最新价与平均价距离:-10.5058500014904,成交量:670940,交易日:20170417 
09:00:33.450 DEBUG [7] 合约:i1709,最新价:499.5,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:31,毫秒数:970,平均价:510.502910060794,最新价与平均价距离:-11.0029100607939,成交量:671120,交易日:20170417 
09:00:33.950 DEBUG [7] 合约:i1709,最新价:499.5,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:32,毫秒数:446,平均价:510.500397752327,最新价与平均价距离:-11.0003977523269,成交量:671272,交易日:20170417 
09:00:34.453 DEBUG [7] 合约:i1709,最新价:499.5,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:32,毫秒数:972,平均价:510.496562949549,最新价与平均价距离:-10.9965629495492,成交量:671506,交易日:20170417 
09:00:34.954 DEBUG [7] 合约:i1709,最新价:499.5,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:33,毫秒数:467,平均价:510.494565443966,最新价与平均价距离:-10.994565443966,成交量:671628,交易日:20170417 
